block_id,label,notes
ZAF.9.3.1_1_5810,all-dense-informal,tightly packed irregular fabric fills entire boundary despite coarse resolution warning
ZAF.9.3.1_1_18286,all-dense-informal,dense irregular shacks with footpaths no plot grid throughout
ZAF.9.3.1_1_45803,all-dense-informal,dense irregular shack fabric packed tightly across whole block
ZAF.9.3.1_1_41761,all-dense-informal,entire block is tightly packed corrugated roof shacks no subdivision
ZAF.9.3.1_1_38517,all-dense-informal,dense irregular shacks with narrow footpaths fill the boundary
ZAF.9.3.1_1_23733,all-dense-informal,dense corrugated metal shacks packed with irregular alleys throughout
ZAF.9.3.1_1_42407,all-dense-informal,dense packed irregular shack fabric no plot grid
ZAF.9.3.1_1_39368,all-dense-informal,extremely dense shack fabric entirely within block
ZAF.9.3.1_1_42779,some-dense-informal,formal houses line the perimeter but interior courtyard is packed with dense informal infill
ZAF.9.3.1_1_41784,all-dense-informal,dense irregular shack fabric fills the outlined area formal housing outside boundary
ZAF.9.3.1_1_21255,all-dense-informal,dense irregular shack fabric fills nearly all of block aside from a few open patches
ZAF.9.3.1_1_23482,all-dense-informal,narrow elongated block packed with dense irregular shacks
ZAF.9.3.1_1_38988,some-dense-informal,dense shack cluster right half; formal industrial and open yard left half inside boundary
ZAF.9.3.1_1_20205,some-dense-informal,dense informal shacks right side; large formal building and open yard left side
ZAF.9.3.1_1_21262,all-dense-informal,entire elongated block is packed irregular shack fabric with footpaths not streets
ZAF.9.1.4_1_6312,some-dense-informal,dense irregular shack cluster upper portion; large open green field lower portion
ZAF.9.3.1_1_44915,all-dense-informal,whole block is tightly packed irregular shacks with no plot grid
ZAF.9.3.1_1_44798,all-dense-informal,whole block is tightly packed irregular shacks with no plot grid
ZAF.9.3.1_1_44591,all-dense-informal,whole block is tightly packed irregular shacks with no plot grid
ZAF.9.3.1_1_46233,all-dense-informal,whole block is tightly packed irregular shacks along the river edge
ZAF.9.3.1_1_23685,all-dense-informal,whole block is tightly packed irregular shacks bordering open ground outside boundary
ZAF.9.3.1_1_41238,all-dense-informal,irregular densely packed shack fabric fills block; regular townhouses sit outside boundary
ZAF.9.3.1_1_23681,all-dense-informal,dense irregular shack fabric fills block aside from one small vacant sandy lot
ZAF.9.3.1_1_1457,all-dense-informal,whole block is tightly packed irregular shack fabric with footpaths
ZAF.9.3.1_1_42406,all-dense-informal,dense packed irregular shack fabric fills boundary
ZAF.9.3.1_1_63818,no-dense-informal,rural mountainous terrain sparse buildings matches rule worked example
ZAF.9.3.1_1_41785,all-dense-informal,dense packed irregular shack fabric fills boundary
ZAF.9.3.1_1_42381,all-dense-informal,narrow strip densely packed irregular shacks
ZAF.9.3.1_1_22591,all-dense-informal,dense irregular closely packed small structures with footpaths
ZAF.9.3.1_1_22633,all-dense-informal,dense irregular packed fabric fills boundary
ZAF.9.3.1_1_22659,all-dense-informal,dense irregular packed shack fabric throughout
ZAF.9.3.1_1_38528,some-dense-informal,dense shack fabric surrounds a central pond and open ground
ZAF.9.3.1_1_44571,all-dense-informal,dense irregular packed shack fabric throughout
ZAF.9.3.1_1_41796,all-dense-informal,dense irregular packed shack fabric with footpaths
ZAF.9.3.1_1_1434,all-dense-informal,dense irregular packed shack fabric fills boundary
