item,block_id,burial,notes
1,ZAF.9.1.2_1_2865,2,"boot-shaped block; narrow leg ~2 structures across; cluster near bend set back"
2,ZAF.9.3.1_1_39399,1,"perimeter house ring around open lot; isolated warehouse has clear yard not blocked"
3,ZAF.9.3.1_1_23615,2,"elongated grid settlement; comb-pattern rows; middle ~2 deep"
4,ZAF.9.3.1_1_40760,2,"messy informal fill between two clear streets; middle zone 2-3 structures from nearest street"
5,ZAF.9.3.1_1_20856,1,"mostly open field; sparse residential cluster near road; coarse resolution"
6,ZAF.9.3.1_1_53959,1,"suburban strip with internal driveway treated as path; second house row set back one layer"
7,ZAF.9.3.1_1_43860,1,"large formal grid; internal streets ignored per rule; inner columns one structure from true edge"
8,ZAF.9.3.1_1_21708,3,"wide dense informal core far from both bounding streets"
9,ZAF.9.3.1_1_34552,0,"isolated warehouses in open field; nothing blocks anything"
10,ZAF.9.3.1_1_5721,0,"single row of small terrace units spanning full plot depth"
11,ZAF.9.3.1_1_38563,2,"elongated informal strip; multiple layers from top street to far edge"
12,ZAF.9.3.1_1_30829,2,"L-shaped dense informal block; arms wide enough for 2-3 deep core"
13,ZAF.9.3.1_1_30700,3,"very wide dense informal body; deep uniform core"
14,ZAF.9.3.1_1_30677,3,"very wide dense informal body; deep uniform core"
15,ZAF.9.3.1_1_19138,1,"mixed cluster with warehouse and row housing; second layer set back from road in places"
16,ZAF.9.3.1_1_15703,1,"spacious suburban loop street treated as path; some houses one layer behind"
17,ZAF.9.1.4_1_2698,2,"compact cluster with street on three sides; interior point about 2 structures from nearest edge"
18,ZAF.9.3.1_1_38985,3,"wide dense informal block bounded on three sides; deep core"
19,ZAF.9.3.1_1_40094,1,"double-loaded row houses with informal backyard additions in places"
20,ZAF.9.3.1_1_21829,0,"almost entirely vacant scrubland; only isolated structures at one corner"
21,ZAF.9.3.1_1_12698,0,"single row of large suburban houses fronting boundary street directly"
22,ZAF.9.3.1_1_30695,3,"dense informal band; core estimated 4-5 structures deep; close call vs 2"
23,ZAF.9.3.1_1_20047,2,"ring of structures between outer street and central excluded plot; thickest band ~2-3 deep"
