block_id,label,notes
ZAF.9.3.1_1_6289,no-dense-informal,uniform pitched-roof rowhouses with regular driveways
ZAF.9.3.1_1_5706,some-dense-informal,dense packed fabric fills narrow strip but block also contains sports field and open ground
ZAF.9.3.1_1_55731,some-dense-informal,irregular tightly packed mixed-size structures along road with no clear plot lines
ZAF.9.3.1_1_39914,no-dense-informal,regular rows of formal township houses with driveways and cars
ZAF.9.3.1_1_20496,all-dense-informal,small irregular structures packed edge to edge with no plot subdivision
ZAF.9.3.1_1_18990,no-dense-informal,two regular rows of similarly sized houses flanking a central path
ZAF.9.3.1_1_18730,no-dense-informal,same regular narrow row-housing pattern as neighboring Wesbank block
ZAF.9.3.1_1_18202,no-dense-informal,uniform tiled roofs with driveways and parked cars in regular layout
ZAF.9.3.1_1_18184,some-dense-informal,irregular closely packed structures of varied size along curved road frontage
ZAF.9.3.1_1_18099,no-dense-informal,regular narrow rows of similarly sized houses along a central lane
ZAF.9.1.2_1_3710,all-dense-informal,long strip of tightly abutting irregular structures with mixed roof materials and no visible plot gaps
