item,block_id,packing,notes
1,ZAF.9.1.2_1_2865,2,row houses close together narrow gaps between clusters
2,ZAF.9.3.1_1_39399,1,dense edge row houses but large open dirt lot and warehouse dominate center
3,ZAF.9.3.1_1_23615,2,informal settlement rows with narrow gaps throughout
4,ZAF.9.3.1_1_40760,2,roofs mostly close or touching with occasional yard breaks
5,ZAF.9.3.1_1_20856,0,vast open field with only a small structure cluster in one corner
6,ZAF.9.3.1_1_53959,1,suburban houses with clear yard and garden gaps
7,ZAF.9.3.1_1_43860,1,terrace rows around a large open central park area
8,ZAF.9.3.1_1_21708,2,dense shack settlement with thin alleys school/field area sparser
9,ZAF.9.3.1_1_34552,0,industrial site buildings widely separated by open land
10,ZAF.9.3.1_1_5721,3,attached townhouse rows roofs effectively continuous within each row
11,ZAF.9.3.1_1_38563,2,informal dwellings close together with narrow gaps
12,ZAF.9.3.1_1_30829,2,densely packed shacks with narrow but visible seams
13,ZAF.9.3.1_1_30700,2,dense carpet of small roofs narrow gaps throughout
14,ZAF.9.3.1_1_30677,2,dense packed roofs thin gaps fairly uniform across block
15,ZAF.9.3.1_1_19138,1,houses and a warehouse with visible dirt and yard gaps
16,ZAF.9.3.1_1_15703,1,detached suburban houses with driveway and garden gaps
17,ZAF.9.1.4_1_2698,2,small compact structure cluster in corner rest of block is bare dirt
18,ZAF.9.3.1_1_38985,2,closely packed small structures narrow gaps across block
19,ZAF.9.3.1_1_40094,2,clustered structures packed tight with small gaps between clusters
20,ZAF.9.3.1_1_21829,0,vacant scrubland with a single small structure near the road
21,ZAF.9.3.1_1_12698,1,detached houses with clear garden and yard gaps
22,ZAF.9.3.1_1_30695,2,dense packed shacks narrow gaps throughout
23,ZAF.9.3.1_1_20047,1,moderate spacing with visible yard gaps and large open interior clearing
