item,block_id,burial,notes
1,ZAF.9.1.2_1_2865,2,central path splits rows two deep in wide sections
2,ZAF.9.3.1_1_39399,1,field ring school; hall behind perimeter row no deeper cluster
3,ZAF.9.3.1_1_23615,2,tight diagonal rows with footpaths some doubled
4,ZAF.9.3.1_1_40760,2,mixed roof orientations infill behind street-facing row
5,ZAF.9.3.1_1_20856,1,small roadside cluster rest vacant scrub
6,ZAF.9.3.1_1_53959,1,row of houses over water plant open yard behind
7,ZAF.9.3.1_1_43860,1,houses ring internal loop road behind street row
8,ZAF.9.3.1_1_21708,3,extremely dense chaotic core minimal visible paths
9,ZAF.9.3.1_1_34552,1,sparse yard scattered containers loosely spaced
10,ZAF.9.3.1_1_5721,0,single band of terrace units full block width
11,ZAF.9.3.1_1_38563,1,narrow strip nearly full width small setback units
12,ZAF.9.3.1_1_30829,2,dense L-shape rows two deep at corner bulge
13,ZAF.9.3.1_1_30700,2,wide arrow block path network cells two deep
14,ZAF.9.3.1_1_30677,3,near-solid packing no visible path network
15,ZAF.9.3.1_1_19138,1,warehouse set back in open yard clear access
16,ZAF.9.3.1_1_15703,1,houses ring internal loop road pools visible
17,ZAF.9.1.4_1_2698,1,parallel rows narrow gaps mostly single deep
18,ZAF.9.3.1_1_38985,2,dense hexagon block thin path lines between clusters
19,ZAF.9.3.1_1_40094,1,small loop-drive block houses around turning area
20,ZAF.9.3.1_1_21829,2,branching path network breaks clusters two deep
21,ZAF.9.3.1_1_12698,1,central road row houses occasional backyard structure
22,ZAF.9.3.1_1_30695,2,dense S-curve strip minimal path visibility
23,ZAF.9.3.1_1_20047,2,ring around central void doubled row at north end
