item,block_id,packing,notes
1,ZAF.9.1.2_1_2865,2,dense informal rows with narrow paths between clusters
2,ZAF.9.3.1_1_39399,0,large open field and sports ground; housing only a thin ring at edges
3,ZAF.9.3.1_1_23615,2,tight informal rows with narrow alleys
4,ZAF.9.3.1_1_40760,2,closely spaced structures along street with small gaps
5,ZAF.9.3.1_1_20856,0,vast open vacant land with a tiny building cluster at the edge
6,ZAF.9.3.1_1_53959,0,water-treatment tanks and open field dominate; sparse housing row with yard gaps
7,ZAF.9.3.1_1_43860,1,suburban rows with yards and streets plus an open common green
8,ZAF.9.3.1_1_21708,2,dense informal shacks in south half near-touching; open school field in north half
9,ZAF.9.3.1_1_34552,0,industrial/airfield site with scattered buildings amid large open areas
10,ZAF.9.3.1_1_5721,3,continuous terrace row roofs touching with no visible gaps
11,ZAF.9.3.1_1_38563,2,dense row of structures with small gaps
12,ZAF.9.3.1_1_30829,2,dense cluster with narrow internal paths
13,ZAF.9.3.1_1_30700,2,dense informal settlement with narrow alleys threading through
14,ZAF.9.3.1_1_30677,3,near-continuous mosaic of roofs with almost no visible open ground
15,ZAF.9.3.1_1_19138,1,large shed plus houses with open dirt yard space around them
16,ZAF.9.3.1_1_15703,1,suburban houses with lawns pools and driveways between them
17,ZAF.9.1.4_1_2698,3,long rows of attached roofs continuous with essentially no gaps
18,ZAF.9.3.1_1_38985,2,dense informal settlement with small alleys
19,ZAF.9.3.1_1_40094,2,closely set houses around a court with narrow gaps
20,ZAF.9.3.1_1_21829,1,structures with visible bare-ground gaps between most units
21,ZAF.9.3.1_1_12698,1,suburban houses with pools and yards between them
22,ZAF.9.3.1_1_30695,2,dense settlement with small gaps throughout
23,ZAF.9.3.1_1_20047,1,rows of houses with small consistent yard gaps; interior area excluded
