block_id,label,notes
ZAF.9.3.1_1_40760,no-dense-informal,regular terrace houses with driveways not shacks
ZAF.9.3.1_1_48247,no-dense-informal,uniform red-roofed apartment rows formal layout
ZAF.9.3.1_1_18184,all-dense-informal,tightly packed irregular shacks with footpaths no plot lines
ZAF.9.3.1_1_18202,all-dense-informal,dense irregular small structures packed with narrow gaps no street grid
ZAF.9.3.1_1_18730,some-dense-informal,top near junction is regular formal houses lower strip is packed irregular shacks
ZAF.9.3.1_1_18990,all-dense-informal,long strip of tightly packed irregular small roofs along highway embankment
ZAF.9.3.1_1_20496,all-dense-informal,tightly packed small irregular structures along riverbank
ZAF.9.3.1_1_40094,no-dense-informal,regular row houses with carports and driveways formal layout
ZAF.9.3.1_1_37124,no-dense-informal,multi-story townhouse rows around parking lot clearly formal
ZAF.9.3.1_1_42863,no-dense-informal,regular grid of colored-roof houses with driveways formal township
ZAF.9.3.1_1_22028,no-dense-informal,regular rows of houses with driveway access uniform spacing
ZAF.9.3.1_1_35343,no-dense-informal,formal buildings and open courtyard around roundabout regular layout
ZAF.9.3.1_1_6289,no-dense-informal,regular gabled roofs in rows with clear streets; denser fabric lies outside boundary
ZAF.9.3.1_1_5706,some-dense-informal,mixes fine-grain packed fabric with more regular rowed structures and open park
ZAF.9.3.1_1_44533,some-dense-informal,tightly packed shack roofs one side alongside formal complex and paved traffic circle
ZAF.9.1.2_1_3710,all-dense-informal,narrow strip of tightly packed small structures; mixed roofing; no driveways or plot lines
ZAF.9.3.1_1_731,no-dense-informal,curving streets with individually plotted houses and driveways typical of formal subdivision
ZAF.9.3.1_1_39399,no-dense-informal,institutional complex with school building sports court and green field not residential
ZAF.9.3.1_1_44525,no-dense-informal,regular grid of individually plotted formal houses with driveways
ZAF.9.3.1_1_55731,some-dense-informal,densely packed irregular shack roofs at top mixed with formal white buildings below
ZAF.9.3.1_1_39914,all-dense-informal,narrow strip densely packed irregular small structures with footpaths not driveways
ZAF.9.3.1_1_22092,no-dense-informal,two rows of uniform roofed houses along a street consistent with formal row housing
ZAF.9.3.1_1_18099,all-dense-informal,tightly packed small structures with mixed blue and white roofing and narrow footpaths
ZAF.9.3.1_1_37813,no-dense-informal,regular attached rowhouse blocks with uniform roofs and a driveway loop
