item,block_id,label,notes
1,ZAF.9.1.2_1_2865,all-dense-informal,dense shack fabric fills entire block
2,ZAF.9.3.1_1_39399,some-dense-informal,school/sports field ringed by dense informal strips
3,ZAF.9.3.1_1_23615,all-dense-informal,Die Bos shack settlement fills block
4,ZAF.9.3.1_1_40760,no-dense-informal,pitched-roof row housing on paved streets with cul-de-sacs
5,ZAF.9.3.1_1_20856,some-dense-informal,mostly vacant open land with small dense cluster at edge
6,ZAF.9.3.1_1_53959,no-dense-informal,sewage works plus formal houses
7,ZAF.9.3.1_1_43860,no-dense-informal,Westridge formal street grid housing
8,ZAF.9.3.1_1_21708,some-dense-informal,institutional building plus dense shacks below
9,ZAF.9.3.1_1_34552,no-dense-informal,airfield/industrial with sparse small cluster
10,ZAF.9.3.1_1_5721,no-dense-informal,uniform formal row houses
11,ZAF.9.3.1_1_38563,all-dense-informal,tight roadside row no yard gaps mixed patch roofing
12,ZAF.9.3.1_1_30829,all-dense-informal,Racing Park dense shack fabric
13,ZAF.9.3.1_1_30700,all-dense-informal,Racing Park dense shack fabric
14,ZAF.9.3.1_1_30677,all-dense-informal,Racing Park dense shack fabric
15,ZAF.9.3.1_1_19138,some-dense-informal,informal rows plus large shed and open yard
16,ZAF.9.3.1_1_15703,no-dense-informal,formal suburb with private pools
17,ZAF.9.1.4_1_2698,all-dense-informal,tight uniform-roof rows no plot subdivision
18,ZAF.9.3.1_1_38985,all-dense-informal,Klipfontein dense shack fabric
19,ZAF.9.3.1_1_40094,no-dense-informal,cul-de-sac formal houses with driveways
20,ZAF.9.3.1_1_21829,all-dense-informal,Khaya dense shacks one exception building
21,ZAF.9.3.1_1_12698,no-dense-informal,formal suburb with private pools
22,ZAF.9.3.1_1_30695,all-dense-informal,Racing Park dense shack fabric S-curve block
23,ZAF.9.3.1_1_20047,some-dense-informal,formal rows plus informal cluster plus open ground
